c CS 4.3
c Commercial use requires a licence
c contact igsys@eclipse.net
c
c nodes:              56     arcs:              198
c scale-factor:       12     cut-off-factor:   12.0
c
c time:             0.00     cost:               10
c refines:             1     discharges:         38
c pushes:             38     relabels:           38
c updates:             1     u-scans:             0
c p-refines:           2     r-scans:             6
c dfs-scans:         224     bad-in:        0  +  0
c
s %.0
f       1       2          1
f       1       7          1
f       1       3          1
f       1       8          1
f       1       4          1
f       1       9          1
f       1       5          1
f       1      10          1
f       1       6          1
f       1      11          1
f       2      12          1
f       3      13          1
f       4      14          1
f       5      15          1
f       6      16          1
f       7      17          1
f       8      18          1
f       9      19          1
f      10      20          1
f      11      21          1
f      12      30          0
f      12      24          0
f      12      31          0
f      12      32          0
f      12      25          0
f      12      26          0
f      12      27          0
f      12      33          0
f      12      28          0
f      12      22          1
f      12      29          0
f      12      23          0
f      13      25          0
f      13      31          0
f      13      26          0
f      13      27          0
f      13      28          0
f      13      32          0
f      13      33          1
f      13      29          0
f      13      22          0
f      13      23          0
f      13      30          0
f      13      24          0
f      14      32          1
f      14      26          0
f      14      33          0
f      14      27          0
f      14      28          0
f      14      29          0
f      14      22          0
f      14      23          0
f      14      30          0
f      14      24          0
f      14      31          0
f      14      25          0
f      15      33          0
f      15      27          0
f      15      22          0
f      15      28          0
f      15      29          0
f      15      23          0
f      15      30          0
f      15      24          0
f      15      31          1
f      15      25          0
f      15      32          0
f      15      26          0
f      16      28          0
f      16      22          0
f      16      29          0
f      16      23          0
f      16      30          1
f      16      24          0
f      16      25          0
f      16      26          0
f      16      31          0
f      16      32          0
f      16      33          0
f      16      27          0
f      17      33          0
f      17      28          0
f      17      22          0
f      17      23          0
f      17      29          1
f      17      24          0
f      17      30          0
f      17      25          0
f      17      31          0
f      17      26          0
f      17      32          0
f      17      27          0
f      18      32          0
f      18      27          0
f      18      33          0
f      18      22          0
f      18      28          1
f      18      23          0
f      18      29          0
f      18      24          0
f      18      30          0
f      18      25          0
f      18      31          0
f      18      26          0
f      19      26          0
f      19      31          0
f      19      27          1
f      19      22          0
f      19      32          0
f      19      28          0
f      19      33          0
f      19      23          0
f      19      29          0
f      19      24          0
f      19      30          0
f      19      25          0
f      20      30          0
f      20      31          0
f      20      25          0
f      20      26          1
f      20      22          0
f      20      32          0
f      20      27          0
f      20      33          0
f      20      28          0
f      20      23          0
f      20      29          0
f      20      24          0
f      21      29          0
f      21      24          0
f      21      30          0
f      21      25          1
f      21      31          0
f      21      32          0
f      21      22          0
f      21      26          0
f      21      27          0
f      21      33          0
f      21      28          0
f      21      23          0
f      22      34          1
f      23      35          0
f      24      36          0
f      25      37          1
f      26      38          1
f      27      39          1
f      28      40          1
f      29      41          1
f      30      42          1
f      31      43          1
f      32      44          1
f      33      45          1
f      34      46          1
f      34      48          0
f      34      47          0
f      35      47          0
f      35      48          0
f      35      49          0
f      36      48          0
f      36      50          0
f      36      49          0
f      37      50          1
f      37      49          0
f      37      46          0
f      38      47          0
f      38      50          1
f      38      46          0
f      39      47          1
f      39      46          0
f      39      48          0
f      40      47          1
f      40      48          0
f      40      49          0
f      41      49          0
f      41      50          1
f      41      48          0
f      42      49          1
f      42      50          0
f      42      46          0
f      43      50          0
f      43      46          1
f      43      47          0
f      44      47          1
f      44      48          0
f      44      46          0
f      45      49          0
f      45      47          1
f      45      48          0
f      46      51          2
f      47      52          4
f      48      53          0
f      49      54          1
f      50      55          3
f      51      56          2
f      52      56          4
f      53      56          0
f      54      56          1
f      55      56          3
c
